date,sales
2023-01-01,102.48
2023-01-02,111.58
2023-01-03,118.94
2023-01-04,115.74
2023-01-05,94.48
2023-01-06,86.9
2023-01-07,99.4
2023-01-08,107.61
2023-01-09,113.69
2023-01-10,122.18
2023-01-11,109.57
2023-01-12,97.08
2023-01-13,93.03
2023-01-14,85.68
2023-01-15,98.88
2023-01-16,116.95
2023-01-17,118.11
2023-01-18,117.16
2023-01-19,98.55
2023-01-20,88.43
2023-01-21,106.23
2023-01-22,110.02
2023-01-23,123.72
2023-01-24,119.67
2023-01-25,116.46
2023-01-26,107.22
2023-01-27,93.29
2023-01-28,104.32
2023-01-29,111.66
2023-01-30,125.42
2023-01-31,127.25
2023-02-01,131.89
2023-02-02,110.02
2023-02-03,97.16
2023-02-04,109.93
2023-02-05,111.9
2023-02-06,131.24
2023-02-07,123.75
2023-02-08,119.25
2023-02-09,114.31
2023-02-10,109.34
2023-02-11,109.84
2023-02-12,120.57
2023-02-13,131.8
2023-02-14,129.24
2023-02-15,125.33
2023-02-16,114.03
2023-02-17,113.91
2023-02-18,113.64
2023-02-19,115.24
2023-02-20,137.79
2023-02-21,137.53
2023-02-22,128.34
2023-02-23,122.14
2023-02-24,116.49
2023-02-25,119.25
2023-02-26,122.49
2023-02-27,137.22
2023-02-28,143.66
2023-03-01,139.11
2023-03-02,119.15
2023-03-03,112.83
2023-03-04,111.44
2023-03-05,123.03
2023-03-06,145.11
2023-03-07,151.03
2023-03-08,136.07
2023-03-09,128.72
2023-03-10,117.67
2023-03-11,115.81
2023-03-12,132.83
2023-03-13,150.71
2023-03-14,145.99
2023-03-15,146.12
2023-03-16,112.42
2023-03-17,121.74
2023-03-18,121.19
2023-03-19,131.21
2023-03-20,145.1
2023-03-21,137.8
2023-03-22,138.72
2023-03-23,128.78
2023-03-24,126.45
2023-03-25,119.54
2023-03-26,129.98
2023-03-27,143.4
2023-03-28,153.54
2023-03-29,142.63
2023-03-30,125.46
2023-03-31,122.69
2023-04-01,123.63
2023-04-02,139.83
